Test Type, Average Runtime (ms), Standard Deviation (ms), Number of Samples
Serial, 7.633333, 0.718395, 30
Mutex T1, 9.266667, 0.868345, 30
Mutex T2, 59.766667, 6.729673, 30
Mutex T4, 32.866667, 1.833281, 30
Mutex T8, 35.533333, 2.388670, 30
RW Lock T1, 15.666667, 1.625939, 30
RW Lock T2, 32.800000, 3.055803, 30
RW Lock T4, 39.133333, 1.357821, 30
RW Lock T8, 41.466667, 2.374191, 30
